Restaurant Name,Cuisines,Address,City,Postcode,Phone Number,Reviews,Average Review
"Punjabi Tadka","Indian, Curry, Halal","3 The Boardwalk","East Kilbride","G75 0YW","01355260681","536","5"
"Di Maggios East Kilbride","Burgers, Pizza","1 Boardwalk, Stroud Road, East Kilbride","Glasgow","G75 0YA","01355242222","829","4.5"
"Pizza Hut Delivery - East Kilbride","Pizza","31 St James Avenue","East Kilbride","G74 5QD","01355590011","51","4.5"
"Spice Indian Cuisine","Indian, Curry","46 - 50 Kirkton Park","East Kilbride","G74 4HX","01355228286","65","4.5"
"Pickled Ginger","Japanese, Sushi","512 St Vincent Street","Glasgow","G3 8XZ","01413288941","3064","5"
"Shish Mahal","Indian, Kebab, Halal","1 Redcliffe Drive","East Kilbride","G75 8YQ","01355228555","1104","5"
"Tony 2 Go","Italian, Pizza","14 Lindsayfield Road","East Kilbride","G75 9DE","01355222200","163","5"
"Rangoli Indian Restaurant","Indian, Curry, Halal","Unit 4, Jacobean House, Glebe Street","East Kilbride","G74 4LY","01355459622","721","5"
"Curry Mahal","Curry, Indian, Halal","21 Main Street","East Kilbride","G74 4JH","01355220027","71","5.5"
"Manzil Tandoori","Indian, Kebab, Halal","39 The Murray Square","East Kilbride","G75 0BH","01355220098","185","5"
"Marini's","Fish & Chips, Pizza","41 The Murray Square","Lanarkshire","G75 0BH","01355223185","702","4.5"
"Big Scoops","Ice Cream, Desserts","The Murray Square","East Kilbride","G75 0BH","07547898316","143","4"
"Waffle-icious Desserts","Desserts, Ice Cream","22 Westwood Square","East Kilbride","G75 8JQ","01355224223","209","5.5"
"Taj Palace","Indian, Curry, Halal","2 Scholars Gate, Whitehill Farm","Glasgow","G75 9JL","01355263183","72","4.5"
"The Curry House Chinese Takeaway","Chinese, Oriental","29 Montgomery Street,The Village","East Kilbride","G74 4JS","01355264381","2357","5"
"The Lantern Chinese Takeaway","Chinese, Oriental","Alloway Road","East Kilbride","G74 3SD","01355232488","303","5"
"Chillies","Indian, Curry","37 Saint James Avenue","East Kilbride","G74 5QD","01355276414","32","5"
"Salt N Pepper","Indian, Pizza, Halal","11 Greenhills Crescent","East Kilbride","G75 8TT","01355242400","132","5"
"Sweet Enough","Desserts, Ice Cream","21 Main Street","East Kilbride","G74 4JH","01355261123","55","4.5"
"Mr Chipz","Fish & Chips, Pizza","11 Westwood Square","Lanarkshire","G75 8JQ","01355226060","1349","5.5"
"Marmaris","Kebab, Curry","11 Stuart Street East Kilbride","Lanarkshire","G74 4NG","01355241500","986","5"
"Kebab King","Kebab, Indian","33 The Murray Square","East Kilbride","G75 0BH","01355260970","58","5.5"
"Wee Gurkha Curry House","Nepalese, Indian","3A Hunter Street, East Kilbride","Glasgow","G74 4LZ","01355458281","493","5"
"Laal Mirch","Curry, Kebab, Halal","19-21 Westwood Square","East Kilbride","G75 8JQ","01355459129","8","5"
