Restaurant Name,Cuisines,Address,City,Postcode,Phone Number,Reviews,Average Review
"Adam's Diner","American, Burgers, Halal","423 Glasgow Road","Dumbarton","G81 1LW","01419529090","1448","5"
"Papa John's - Broomhill","Pizza, American","12 Norby Road","Glasgow","G11 7BN","read what this restaurant has to say about allergies","1034","4.5"
"Freddies Food Club~","Indian, Italian","2139 Great Western Road","Glasgow","G13 2XX","01419591901","1653","4"
"Cravings Ice Cream and Dessert","Desserts, Ice Cream, Halal","411 Dumbarton Road","Glasgow","G11 6DD","07857207876","3","5"
"Asian Tandoori","Indian, Curry, Halal","3A Duntreath Avenue","Glasgow","G13 4JG","01419506100","2654","5.5"
